service_id,date,exception_type
JUNE24-D01CAR-3_Sunday,20240704,1
JUNE24-D01CAR-3_Sunday,20240902,1
JUNE24-D01CAR-3_Sunday,20241128,1
JUNE24-D01CAR-1_Weekday,20240704,2
JUNE24-D01CAR-1_Weekday,20240902,2
JUNE24-D01CAR-1_Weekday,20241128,2
JUNE24-D02CAR-3_Sunday,20240704,1
JUNE24-D02CAR-3_Sunday,20240902,1
JUNE24-D02CAR-3_Sunday,20241128,1
JUNE24-D02CAR-1_Weekday,20240704,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240704,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240704,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240704,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240704,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240704,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240704,2
JUNE24-D02CAR-1_Weekday,20240902,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240902,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240902,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240902,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240902,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240902,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240902,2
JUNE24-D02CAR-1_Weekday,20241128,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20241128,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20241128,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20241128,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20241128,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20241128,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20241128,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240624,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240624,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240624,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240624,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240624,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240624,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240625,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240625,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240625,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240625,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240625,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240625,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240626,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240626,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240626,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240626,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240626,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240626,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240627,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240627,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240627,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240627,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240627,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240627,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240628,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240628,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240628,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240628,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240628,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240628,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240701,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240701,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240701,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240701,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240701,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240701,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240702,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240702,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240702,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240702,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240702,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240702,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240703,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240703,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240703,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240703,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240703,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240703,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240705,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240705,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240705,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240705,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240705,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240705,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240708,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240708,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240708,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240708,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240708,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240708,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240709,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240709,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240709,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240709,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240709,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240709,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240710,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240710,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240710,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240710,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240710,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240710,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240711,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240711,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240711,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240711,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240711,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240711,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240712,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240712,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240712,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240712,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240712,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240712,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240715,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240715,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240715,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240715,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240715,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240715,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240716,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240716,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240716,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240716,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240716,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240716,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240717,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240717,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240717,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240717,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240717,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240717,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240718,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240718,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240718,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240718,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240718,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240718,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240719,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240719,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240719,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240719,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240719,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240719,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240722,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240722,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240722,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240722,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240722,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240722,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240723,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240723,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240723,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240723,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240723,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240723,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240724,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240724,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240724,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240724,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240724,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240724,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240725,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240725,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240725,2
JUNE24-D02CAR-1_Weekday-KINGMB0,20240725,2
JUNE24-D02CAR-1_Weekday-KINGMA0,20240725,2
JUNE24-D02CAR-1_Weekday-KINGMS1,20240725,2
JUNE24-D02CAR-1_Weekday-SANTHS1,20240726,2
JUNE24-D02CAR-1_Weekday-SANTHB0,20240726,2
JUNE24-D02CAR-1_Weekday-SANTHA0,20240726,2
