route_id,fare_id,route_id_base
2-13183,1,2
2-13183,2,2
4-13183,1,4
4-13183,2,4
10-13183,1,10
10-13183,2,10
14-13183,1,14
14-13183,2,14
16-13183,1,16
16-13183,2,16
18-13183,1,18
18-13183,2,18
20-13183,1,20
20-13183,2,20
28-13183,1,28
28-13183,2,28
30-13183,1,30
30-13183,2,30
33-13183,1,33
33-13183,2,33
35-13183,1,35
35-13183,2,35
40-13183,1,40
40-13183,2,40
45-13183,1,45
45-13183,2,45
51-13183,1,51
51-13183,2,51
53-13183,1,53
53-13183,2,53
55-13183,1,55
55-13183,2,55
60-13183,1,60
60-13183,2,60
62-13183,1,62
62-13183,2,62
66-13183,1,66
66-13183,2,66
70-13183,1,70
70-13183,2,70
76-13183,1,76
76-13183,2,76
78-13183,1,78
78-13183,2,78
81-13183,1,81
81-13183,2,81
90-13183,1,90
90-13183,2,90
92-13183,1,92
92-13183,2,92
94-13183,1,94
94-13183,2,94
96-13183,1,96
96-13183,2,96
102-13183,1,102
102-13183,2,102
105-13183,1,105
105-13183,2,105
106-13183,1,106
106-13183,2,106
108-13183,1,108
108-13183,2,108
110-13183,1,110
110-13183,2,110
111-13183,1,111
111-13183,2,111
115-13183,1,115
115-13183,2,115
117-13183,1,117
117-13183,2,117
120-13183,1,120
120-13183,2,120
125-13183,1,125
125-13183,2,125
127-13183,1,127
127-13183,2,127
128-13183,1,128
128-13183,2,128
134-13183,1,134
134-13183,2,134
150-13183,1,150
150-13183,2,150
152-13183,1,152
152-13183,2,152
154-13183,1,154
154-13183,2,154
155-13183,1,155
155-13183,2,155
158-13183,1,158
158-13183,2,158
161-13183,1,161
161-13183,2,161
162-13183,1,162
162-13183,2,162
164-13183,1,164
164-13183,2,164
165-13183,1,165
165-13183,2,165
166-13183,1,166
166-13183,2,166
167-13183,1,167
167-13183,2,167
169-13183,1,169
169-13183,2,169
177-13183,1,177
177-13183,2,177
179-13183,1,179
179-13183,2,179
180-13183,1,180
180-13183,2,180
182-13183,1,182
182-13183,2,182
202-13183,1,202
202-13183,2,202
204-13183,1,204
204-13183,2,204
205-13183,1,205
205-13183,2,205
206-13183,1,206
206-13183,2,206
207-13183,1,207
207-13183,2,207
209-13183,1,209
209-13183,2,209
210-13183,1,210
210-13183,2,210
211-13183,1,211
211-13183,2,211
212-13183,1,212
212-13183,2,212
217-13183,1,217
217-13183,2,217
218-13183,1,218
218-13183,2,218
222-13183,1,222
222-13183,2,222
224-13183,1,224
224-13183,2,224
230-13183,1,230
230-13183,2,230
232-13183,1,232
232-13183,2,232
233-13183,1,233
233-13183,2,233
234-13183,1,234
234-13183,2,234
236-13183,1,236
236-13183,2,236
237-13183,1,237
237-13183,2,237
240-13183,1,240
240-13183,2,240
242-13183,1,242
242-13183,2,242
244-13183,1,244
244-13183,2,244
246-13183,1,246
246-13183,2,246
251-13183,1,251
251-13183,2,251
256-13183,1,256
256-13183,2,256
258-13183,1,258
258-13183,2,258
260-13183,1,260
260-13183,2,260
265-13183,1,265
265-13183,2,265
266-13183,1,266
266-13183,2,266
267-13183,1,267
267-13183,2,267
268-13183,1,268
268-13183,2,268
287-13183,1,287
287-13183,2,287
294-13183,1,294
294-13183,2,294
344-13183,1,344
344-13183,2,344
460-13183,1,460
460-13183,2,460
487-13183,1,487
487-13183,2,487
501-13183,1,501
501-13183,2,501
550-13183,1,550
550-13183,2,550
577-13183,1,577
577-13183,2,577
601-13183,1,601
601-13183,2,601
602-13183,1,602
602-13183,2,602
603-13183,1,603
603-13183,2,603
605-13183,1,605
605-13183,2,605
611-13183,1,611
611-13183,2,611
617-13183,1,617
617-13183,2,617
660-13183,1,660
660-13183,2,660
662-13183,1,662
662-13183,2,662
665-13183,1,665
665-13183,2,665
690-13183,1,690
690-13183,2,690
720-13183,1,720
720-13183,2,720
754-13183,1,754
754-13183,2,754
761-13183,1,761
761-13183,2,761
857-13183,1,857
857-13183,2,857
901-13183,3,901
910-13183,1,910
910-13183,2,910
698-13168,1,699-13168
698-13168,2,699-13168
699-13168,1,699-13168
699-13168,2,699-13168
DSE-HG,1,DSE-HG
DSE-HG,2,DSE-HG
DSE-US,1,DSE-US
DSE-US,2,DSE-US
